Proteins,"0hr, -IFN","0hr, +IFN","1hr, -IFN","1hr, +IFN","3hr, -IFN","3hr, +IFN"
Q99715,1,1,1,1,1,1
Q99832,0,0,0,1,0,1
Q9BQG0,1,1,1,1,1,1
Q9BRD0,1,0,1,0,1,0
Q9BSC4,1,1,1,1,1,1
Q9BSJ8,1,1,1,1,1,1
Q9BU23,0,1,0,1,0,1
Q9BUN8,0,1,0,0,0,0
Q9BVJ6,0,0,0,1,0,1
Q9BVK2,1,0,0,0,1,0
Q9BW60,1,1,1,1,1,1
Q9BXS5,0,0,0,0,0,1
Q9BY44,1,1,1,1,1,1
Q9BY89,0,0,1,0,1,0
Q9BZE4,0,1,0,1,0,1
Q9BZF1,1,0,1,0,1,0
Q9BZL6,0,0,0,1,0,0
Q9C0B5,1,0,1,0,1,0
Q9C0C2,1,1,1,1,1,1
Q9C0D9,0,0,1,0,0,0
Q9C0J8,1,0,1,0,1,0
Q9H0A0,1,1,1,1,1,1
Q9H0D6,1,1,1,1,1,1
Q9H0E3,1,1,1,1,1,1
Q9H0U4,1,1,0,1,0,1
Q9H1Z4,1,0,0,0,0,0
Q9H2P0,1,1,1,1,1,1
Q9H2U1,1,1,1,1,1,1
Q9H3K2,1,1,1,1,1,1
Q9H490,1,1,1,1,0,1
Q9H4L7,0,0,0,0,0,1
Q9H501,0,0,0,1,0,0
Q9H583,1,1,1,1,1,1
Q9H6R4,1,0,0,0,1,0
Q9H8H2,1,0,1,0,0,0
Q9HAV4,0,0,0,1,0,0
Q9HBL0,1,1,1,1,0,1
Q9HCE1,1,1,1,1,1,1
Q9HD45,1,0,0,0,0,0
Q9NP61,1,1,1,1,1,1
Q9NQT8,0,1,1,1,0,1
Q9NQW6,1,1,1,1,1,1
Q9NQX3,1,0,0,0,0,0
Q9NR12,1,1,1,1,1,1
Q9NR30,1,1,1,1,1,1
Q9NSE4,0,0,0,1,0,0
Q9NSY1,0,1,0,0,0,1
Q9NTJ3,1,1,1,1,1,1
Q9NTJ5,1,0,0,0,0,0
Q9NTZ6,1,1,1,1,1,1
Q9NV06,1,0,1,0,1,0
Q9NVA2,0,0,0,1,0,1
Q9NW08,0,0,0,1,0,1
Q9NW13,1,1,1,1,1,0
Q9NW15,0,0,0,1,0,0
Q9NW82,0,0,0,1,0,0
Q9NWH9,1,0,1,0,0,0
Q9NWT1,0,0,0,0,0,1
Q9NYF8,1,1,1,1,1,1
Q9NYP7,1,1,1,1,0,1
Q9NYT0,0,0,0,0,0,1
Q9NYU2,1,1,1,1,1,1
Q9NYY8,0,1,0,0,0,0
Q9NZ01,1,0,1,0,1,0
Q9P035,1,1,1,1,1,1
Q9P258,1,1,1,1,1,1
Q9P2E9,1,1,1,1,1,1
Q9P2J5,1,1,1,1,1,1
Q9P2N5,1,0,1,0,1,0
Q9UBT2,1,0,1,0,1,0
Q9UDY2,1,1,1,1,1,1
Q9UEY8,1,0,1,0,1,0
Q9UFC0,0,0,0,0,0,1
Q9UHB6,1,1,1,1,1,1
Q9UHD1,1,1,1,1,1,1
Q9UHD8,1,1,1,1,1,1
Q9UJW0,0,1,0,1,0,0
Q9UKN8,0,0,0,0,1,0
Q9UL03,1,1,1,1,0,1
Q9ULH0,0,1,0,1,0,0
Q9ULV4,0,1,0,1,0,1
Q9ULW0,1,1,1,1,1,1
Q9UM54,1,1,1,1,1,1
Q9UMS4,1,1,0,1,0,1
Q9UNX4,1,0,1,0,1,0
Q9UNY4,0,1,0,1,0,1
Q9UPN3,0,0,0,0,1,0
Q9UQ35,1,1,1,1,1,1
Q9Y263,1,1,1,1,1,1
Q9Y2D5,1,0,1,0,1,0
Q9Y2G8,1,1,0,1,1,0
Q9Y2J2,1,1,1,1,1,1
Q9Y2L1,1,1,1,1,1,1
Q9Y2U8,0,1,0,1,0,0
Q9Y2W1,1,1,1,1,1,1
Q9Y3E0,1,1,1,1,1,1
Q9Y3I1,0,1,0,0,0,0
Q9Y450,0,1,0,1,0,1
